stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
STP-0503,0503,LES HAUTES RIBES 2,,43.6639003,6.8954153,,,0,STA-STP-0503,,
STP-0504,0504,LES HAUTES RIBES 2,,43.6640523,6.895463,,,0,STA-STP-0504,,
STP-0505,0505,LES HAUTS CHAMPS,,43.6485477,6.9612336,,,0,STA-STP-0505,,
STP-0506,0506,LES HAUTS CHAMPS,,43.6488721,6.9610305,,,0,STA-STP-0506,,
STP-0507,0507,LES HAUTS DE LA FRAYERE,,43.6370472,6.8829036,,,0,STA-STP-0507,,
STP-0509,0509,LES HAUTS DE SAINT JACQUES,,43.6282798,6.9135543,,,0,STA-STP-0509,,1
STP-0510,0510,LES HAUTS DE SAINT JACQUES,,43.6285414,6.9132827,,,0,STA-STP-0510,,1
STP-0511,0511,LES 4 FERS,,43.6393173,6.8452888,,,0,STA-STP-0511,,
STP-0512,0512,HENRI BENARD,,43.6661777,6.9265713,,,0,STA-STP-0512,,
STP-0513,0513,HENRI DUNANT,,43.6500426,6.9221934,,,0,STA-STP-0513,,
STP-0514,0514,HENRI DUNANT,,43.6501666,6.9221271,,,0,STA-STP-0514,,
STP-0516,0516,HOPITAL,,43.61950183,6.93077342,,,0,STA-STP-0516,,1
STP-0520,0520,HOTEL PARADIS,,43.6619509,6.9290872,,,0,STA-STP-0520,,
STP-0526,0526,J.CUMERO LE PLAN,,43.6415304,6.9589478,,,0,STA-STP-0526,,
STP-0527,0527,JACINTHE,,43.6446566,6.9393238,,,0,STA-STP-0527,,
STP-0528,0528,JACINTHE,,43.6446909,6.9396276,,,0,STA-STP-0528,,
STP-0529,0529,LES JACOURETS,,43.6446047,6.8684577,,,0,STA-STP-0529,,
STP-0531,0531,LES JAISOUS,,43.6448753,6.8633514,,,0,STA-STP-0531,,
STP-0533,0533,LE JARDIN,,43.6416313,6.9119398,,,0,STA-STP-0533,,
STP-0534,0534,THORENC,,43.8052395,6.8046577,,,0,STA-STP-0534,,
STP-0535,0535,THORENC,,43.8049445,6.8047581,,,0,STA-STP-0535,,
STP-0536,0536,JARDINS D'ARCADIE,,43.6589293,6.9141423,,,0,STA-STP-0536,,
STP-0537,0537,LES JARDINS DE GRASSE,,43.6652526,6.9257877,,,0,STA-STP-0537,,
STP-0538,0538,LES JARDINS DE PROVENCE,,43.6498874,6.8033328,,,0,STA-STP-0538,,
STP-0539,0539,LES JARDINS DE PROVENCE,,43.6499337,6.8043515,,,0,STA-STP-0539,,1
STP-0540,0540,LE JAS NEUF,,43.6429032,6.8832957,,,0,STA-STP-0540,,
STP-0546,0546,JEAN XXIII,,43.6619633,6.9366549,,,0,STA-STP-0546,,
STP-0547,0547,JEAN XXIII,,43.661904,6.9367128,,,0,STA-STP-0547,,
STP-0548,0548,JEANNE JUGAN,,43.6607229,6.9080969,,,0,STA-STP-0548,,
STP-0549,0549,LES JONQUILLES,,43.6639028,6.9536604,,,0,STA-STP-0549,,
STP-0550,0550,LES JONQUILLES,,43.6638537,6.9535984,,,0,STA-STP-0550,,
STP-0555,0555,SAINTE LORETTE,,43.65384039,6.91887072,,,0,STA-STP-0555,,
STP-0556,0556,LES JARDINS D'ARCADIE,,43.65889139,6.91402898,,,0,STA-STP-0556,,
STP-0557,0557,PARC DU PRADO,,43.6596239,6.91255609,,,0,STA-STP-0557,,
STP-0558,0558,L'AVEN,,43.6533142,6.9095743,,,0,STA-STP-0558,,
STP-0559,0559,L'AVEN,,43.653434,6.9096235,,,0,STA-STP-0559,,
STP-0560,0560,L'HERMITAGE,,43.6631874,6.9393546,,,0,STA-STP-0560,,
STP-0561,0561,L'HERMITAGE,,43.6629186,6.9393114,,,0,STA-STP-0561,,
STP-0566,0566,L'AMANDIER,,43.6325703,6.9258087,,,0,STA-STP-0566,,
STP-0567,0567,L'AMANDIER,,43.6324321,6.9257186,,,0,STA-STP-0567,,
STP-0568,0568,LAGARDOU,,43.6930699,6.845034,,,0,STA-STP-0568,,
STP-0569,0569,LAGARDOU,,43.692885,6.8449507,,,0,STA-STP-0569,,
STP-0570,0570,LA LAUVE,,43.6799181,6.9581366,,,0,STA-STP-0570,,
STP-0571,0571,LA LAUVE,,43.6798946,6.9577823,,,0,STA-STP-0571,,
STP-0572,0572,LES LAVANDIERES,,43.6415621,6.979752,,,0,STA-STP-0572,,
STP-0573,0573,LA CASCADE 2,,43.6664926,6.9018155,,,0,STA-STP-0573,,
STP-0574,0574,LES LAZES,,43.6424489,6.8611391,,,0,STA-STP-0574,,
STP-0576,0576,LE BRUSQUET,,43.6426161,6.8283199,,,0,STA-STP-0576,,
STP-0577,0577,LE BRUSQUET,,43.6428091,6.8282997,,,0,STA-STP-0577,,
