distance_km,dist_to_600,co2_train_kg,co2_avion_kg,vehicule_type,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population,ratio_origin,ratio_dest,trip_count_corridor,trip_count_origin,service_share,is_substitutable
278.12740115180503,-321.87259884819497,2.207775310343028,111.18902347839374,12,466159.0,6670.0,859138.0,9543.0,69.88890554722639,90.02808341192497,4.0,269.0,0.0148698884758364,1
571.9575288216173,-28.042471178382698,4.5401988637859985,152.98656039583932,12,1168501.0,151839.0,5440432.0,146249.0,7.695657900802824,37.1997894002694,7.0,371.0,0.0188679245283018,0
190.36932806182708,-409.6306719381729,1.511151726154783,76.11419220319675,10,503.0,0.0,41881077.0,0.0,0.0,0.0,4.0,359.0,0.011142061281337,0
177.03847838166993,-422.96152161833004,3.4352546345179236,104.75028905229422,8,0.0,195278.0,0.0,0.0,0.0,0.0,146.0,5391.0,0.0270821739936931,1
188.01834091266196,-411.981659087338,1.4924895901647106,106.30859164360716,13,2723.0,134.0,56169.0,2103778.0,20.32089552238806,0.026699109887069833,7.0,36.0,0.1944444444444444,1
111.08975940073054,-488.91024059926946,2.1555856914117757,78.11307510622579,7,0.0,0.0,9376.0,0.0,0.0,0.0,513.0,2912.0,0.1761675824175824,1
159.74074461871305,-440.25925538128695,3.099609408581508,101.70404659206628,7,0.0,35896.0,0.0,20960.0,0.0,0.0,40.0,1378.0,0.0290275761973875,1
106.698234797653,-493.301765202347,3.199666665112019,70.64577772562642,12,1366366.0,22109.0,611804.0,13266.0,61.80134786738432,46.1181968943163,16.0,75.0,0.2133333333333333,1
168.116029465507,-431.88397053449296,1.3345050418971949,105.7670064820734,4,15689647.0,230890.0,850223.0,15194.0,67.95290831131707,55.95781229432671,42.0,1533.0,0.0273972602739726,1
197.66468530725865,-402.33531469274135,3.8354855537020462,111.70589477463704,13,93016.0,6732.0,0.0,18802.0,13.816993464052288,0.0,3.0,1346.0,0.0022288261515601,1
104.03676258865434,-495.96323741134563,5.9644275992075535,0.0,12,0.0,0.0,106903.0,0.0,0.0,0.0,21.0,163.0,0.1288343558282208,1
278.9354516672905,-321.0645483327095,2.214189615334952,104.81451211362985,12,422474.0,5350.0,113224230.0,2103778.0,78.96710280373831,53.819476199484924,17.0,504.0,0.0337301587301587,1
142.35109454261251,-457.6489054573875,0.1255536653865842,83.91209831702486,14,0.0,15705.0,0.0,18362.0,0.0,0.0,461.0,8905.0,0.0517686692869174,1
119.6581530608003,-480.3418469391997,0.9498464189966328,68.55812763665057,12,126444.0,4740.0,2917986.0,64458.0,26.675949367088606,45.269570883365915,82.0,308.0,0.2662337662337662,1
123.15381905759315,-476.8461809424068,0.1086216684087971,72.63922186018121,13,0.0,0.0,349852.0,0.0,0.0,0.0,1.0,6331.0,0.0001579529300268,0
123.74009575303418,-476.2599042469658,0.9822488800875852,81.18058738210878,12,2251500.0,519127.0,137211.0,4385.0,4.337088997490017,31.290992018244015,7.0,84.0,0.0833333333333333,1
369.3337712470901,-230.6662287529099,21.173905105595676,112.64525959283668,12,667419.0,118489.0,0.0,0.0,5.6327507194760695,0.0,2.0,165.0,0.0121212121212121,0
290.4555352550716,-309.5444647449284,0.2561817820949731,118.23036230238029,12,5702065.0,104978.0,42434779.0,519127.0,54.31676160719389,81.74257744251406,56.0,182.0,0.3076923076923077,1
243.07010197728565,-356.9298980227144,13.935208946357786,92.30121830000591,14,0.0,215966.0,11803.0,0.0,0.0,0.0,19.0,1568.0,0.0121173469387755,1
112.29788243086556,-487.70211756913443,0.0990467323040234,66.0178997863067,12,0.0,0.0,28711.0,0.0,0.0,0.0,41.0,3370.0,0.0121661721068249,1
163.8334369741193,-436.1665630258807,0.1445010914111732,98.54772017870468,14,0.0,358.0,0.0,111840.0,0.0,0.0,3.0,3032.0,0.0009894459102902,0
117.2225116071915,-482.7774883928085,0.9305122971378862,72.60107712761545,12,106903.0,1287.0,248858.0,5155.0,83.06371406371406,48.27507274490786,7.0,61.0,0.1147540983606557,1
631.5393620585661,31.5393620585661,5.013159456020897,169.1837663767275,12,2099156.0,51729.0,3895541.0,149695.0,40.579868159059714,26.023187147199305,19.0,506.0,0.0375494071146245,1
102.0076210221827,-497.9923789778173,0.8097364956740862,0.0,13,45002.0,892.0,7013155.0,139259.0,50.45067264573991,50.36051529883167,8.0,78.0,0.1025641025641025,1
303.6018456682298,-296.3981543317702,2.4099914509144083,118.57076781733008,8,188743.0,3579.0,113224230.0,2103778.0,52.73623917295334,53.819476199484924,3.0,303.0,0.0099009900990099,1
412.8581956977218,-187.14180430227822,3.277268357448516,128.08312518723403,14,966833.0,26241.0,42434779.0,519127.0,36.84436568728326,81.74257744251406,65.0,104.0,0.625,1
132.1149250948559,-467.8850749051441,0.1165253639336629,83.75770697640404,13,0.0,55120.0,0.0,201741.0,0.0,0.0,4.0,9196.0,0.0004349717268377,0
