origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg,airport_origin_name,airport_dest_name
Ankara,Malatya,Avion,39.935001,32.740799,38.353699,38.253899,,,,airports,OurAirports,Ankara,Malatya,506.8010787722399,138.5159111317286,Güvercinlik Airport,Malatya Tulga Airport
Ankara,Malatya,InterCity,39.93498,32.84395,38.3768,38.32295,2026-03-16 19:10:00,2026-03-16 11:09:00,,back_on_track,BackOnTrack,Ankara,Malatya,503.08290810052176,33.27893437084951,,
Ankara,Tatvan,Avion,39.935001,32.740799,38.54180145263672,42.332401275634766,,,,airports,OurAirports,Ankara,Tatvan,840.0162712722854,228.6188283894652,Güvercinlik Airport,Tatvan Airport
Ankara,Tatvan,InterCity,39.93498,32.84395,38.50882,42.2762,2026-03-16 11:20:00,2026-03-16 13:57:00,,back_on_track,BackOnTrack,Ankara,Tatvan,827.4309412029705,54.734556760576496,,
Ankara,İstanbul Halkalı,Avion,39.935001,32.740799,40.971913,28.823714,,,,airports,OurAirports,Ankara,İstanbul Halkalı,350.87549652854614,112.26928669065079,Güvercinlik Airport,İstanbul Atatürk Airport
Ankara,İstanbul Halkalı,InterCity,39.93498,32.84395,41.01849,28.76616,2026-03-16 22:00:00,2026-03-16 07:27:00,,back_on_track,BackOnTrack,Ankara,İstanbul Halkalı,365.302805165389,24.16478056169048,,
Ankara,İzmir Basmane,Avion,39.935001,32.740799,38.319099,27.159401,,,,airports,OurAirports,Ankara,İzmir Basmane,513.7681946997867,140.42012256908865,Güvercinlik Airport,Gaziemir Air Base
Ankara,İzmir Basmane,InterCity,39.93498,32.84395,38.42271,27.14408,2026-03-16 20:00:00,2026-03-16 10:01:00,,back_on_track,BackOnTrack,Ankara,İzmir Basmane,519.1685123931088,34.34299709480415,,
Arad,București Nord,Avion,46.176136,21.264322,44.503133,26.102944,,,,airports,OurAirports,Arad,București Nord,421.3607941505149,127.63186999136757,Arad International Airport,Bucharest Băneasa Aurel Vlaicu International Airport
Arad,București Nord,InterCity,46.19134,21.32492,44.44677,26.07441,2026-03-16 19:05:00,2026-03-16 07:29:00,,back_on_track,BackOnTrack,Arad,București Nord,418.867119159711,17.733158356745523,,
Augsburg Hbf,Altona,Avion,48.425278,10.931667,53.5352783203125,9.835556030273438,,,,airports,OurAirports,Augsburg Hbf,Altona,573.3451432380182,140.9229155649756,Augsburg Airport,Hamburg-Finkenwerder Airport
Augsburg Hbf,Altona,EuroNight,48.3655307,10.885533,53.5519791,9.9343519,16:13:00,22:00:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Augsburg Hbf,Altona,580.5273437977149,9.216452110132522,,
Augsburg Hbf,Hamburg Hbf,Avion,48.425278,10.931667,53.630402,9.98823,,,,airports,OurAirports,Augsburg Hbf,Hamburg Hbf,582.5175601805115,143.17741052941125,Augsburg Airport,Hamburg Helmut Schmidt Airport
Augsburg Hbf,Hamburg Hbf,EuroNight,48.3655307,10.885533,53.5527529,10.0079239,16:13:00,21:44:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Augsburg Hbf,Hamburg Hbf,580.0462721131479,9.208814616068336,,
Augsburg Hbf,Heimenkirch,Avion,48.425278,10.931667,47.7002,10.0207,,,,airports,OurAirports,Augsburg Hbf,Heimenkirch,105.27553917390595,67.53796526524285,Augsburg Airport,Isny Glider Field
Augsburg Hbf,Heimenkirch,Train Longue Distance Nuit,48.3650353,10.8854791,47.6288722,9.9022551,06:32:00,08:20:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Hbf,Heimenkirch,109.78452091268902,1.7429390540098508,,
Augsburg Hbf,Hergatz,Avion,48.425278,10.931667,47.600278,9.741944,,,,airports,OurAirports,Augsburg Hbf,Hergatz,127.46210451196578,81.7714281466976,Augsburg Airport,Wildberg Airfield
Augsburg Hbf,Hergatz,Train Longue Distance Nuit,48.3650353,10.8854791,47.6466862,9.82712,06:32:00,08:27:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Hbf,Hergatz,112.15772596037696,1.7806160573469447,,
Augsburg Hbf,Immenstadt,Avion,48.425278,10.931667,47.554788,10.272868,,,,airports,OurAirports,Augsburg Hbf,Immenstadt,108.5010512066977,69.60724480864609,Augsburg Airport,Agathazell Airfield
Augsburg Hbf,Immenstadt,Train Longue Distance Nuit,48.3650353,10.8854791,47.5590591,10.214258,06:32:00,07:55:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Hbf,Immenstadt,102.61306351490393,1.6290849963626148,,
Augsburg Hbf,Karlsruhe Hauptbahnhof,Avion,48.425278,10.931667,48.9777,8.3425,,,,airports,OurAirports,Augsburg Hbf,Karlsruhe Hauptbahnhof,199.68051982400914,80.47574933177594,Augsburg Airport,Rheinstetten Glider Field
Augsburg Hbf,Karlsruhe Hauptbahnhof,Train Longue Distance,48.365656,10.8858385,48.993367,8.401278,07:20:00,09:51:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Augsburg Hbf,Karlsruhe Hauptbahnhof,195.29929396704543,3.100571591020813,,
Augsburg Hbf,Kufstein Bahnhof,Avion,48.425278,10.931667,47.564713,12.127576,,,,airports,OurAirports,Augsburg Hbf,Kufstein Bahnhof,130.67073535675027,83.82987781358618,Augsburg Airport,Kufstein-Langkampfen Airfield
Augsburg Hbf,Kufstein Bahnhof,EuroNight,48.3655187,10.8854791,47.5830959,12.1655874,13:54:00,15:26:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Augsburg Hbf,Kufstein Bahnhof,129.03117259674832,2.048498896145976,,
Augsburg Hbf,Lindau-Insel,Avion,48.425278,10.931667,47.600278,9.741944,,,,airports,OurAirports,Augsburg Hbf,Lindau-Insel,127.46210451196578,81.7714281466976,Augsburg Airport,Wildberg Airfield
Augsburg Hbf,Lindau-Insel,Train Longue Distance Nuit,48.3653218,10.885003,47.5451508,9.6804521,22:32:00,25:01:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Hbf,Lindau-Insel,127.91678167384742,2.0308068258540017,,
Augsburg Hbf,Lindau-Reutin,Avion,48.425278,10.931667,47.600278,9.741944,,,,airports,OurAirports,Augsburg Hbf,Lindau-Reutin,127.46210451196578,81.7714281466976,Augsburg Airport,Wildberg Airfield
Augsburg Hbf,Lindau-Reutin,Train Longue Distance Nuit,48.3650353,10.8854791,47.5523177,9.7012121,06:32:00,08:45:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Augsburg Hbf,Lindau-Reutin,126.26370387017384,2.0045625626428802,,
Augsburg Hbf,Nürnberg Hbf,Avion,48.425278,10.931667,49.498699,11.078056,,,,airports,OurAirports,Augsburg Hbf,Nürnberg Hbf,119.83640978331998,76.87927646789355,Augsburg Airport,Nuremberg Airport
Augsburg Hbf,Nürnberg Hbf,EuroNight,48.3656739,10.8858924,49.4455099,11.0822371,11:13:00,12:22:00,,mobility_db,FR_BBS_Schapfl_mdb-770,Augsburg Hbf,Nürnberg Hbf,120.92668008996851,1.91983197310834,,
