origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km
Albbruck Bahnhof,Laufenburg (Baden) Ost Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.5661816,8.0734918,15:42:00,15:47:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Laufenburg (Baden) Ost Bahnhof,5.231416627827598
Albbruck Bahnhof,Ludwigshafen(Bodensee) Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.8155463,9.0531316,06:12:00,07:40:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Ludwigshafen(Bodensee) Bahnhof,73.27904707900748
Albbruck Bahnhof,Markdorf Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.7168416,9.3884457,06:12:00,08:15:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Markdorf Bahnhof,95.13818991184509
Albbruck Bahnhof,Murg (Baden) Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.5535848,8.0184071,21:39:00,21:48:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Murg (Baden) Bahnhof,9.515136261759514
Albbruck Bahnhof,Radolfzell Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.7356829,8.9691391,06:12:00,07:29:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Radolfzell Bahnhof,64.70369741317693
Albbruck Bahnhof,Rheinfelden (Baden) Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.5569071,7.784378,15:42:00,16:04:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Rheinfelden (Baden) Bahnhof,26.340154827684973
Albbruck Bahnhof,"Salem, Bahnhof",Train Longue Distance Nuit,47.5922386,8.1317835,47.7577,9.2969523,06:12:00,08:07:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,"Salem, Bahnhof",89.15600463805939
Albbruck Bahnhof,Schaffhausen,Train Longue Distance Nuit,47.5922386,8.1317835,47.6982838,8.6327559,06:12:00,06:58:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Schaffhausen,39.338669030494614
Albbruck Bahnhof,Schwörstadt Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.5911602,7.8718919,21:39:00,22:01:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Schwörstadt Bahnhof,19.47502738214336
Albbruck Bahnhof,Singen (Htw) Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.758944,8.8415064,06:12:00,07:18:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Singen (Htw) Bahnhof,56.27757485186825
Albbruck Bahnhof,Tiengen (Hochrhein) Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.635513,8.2723429,06:12:00,06:30:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Tiengen (Hochrhein) Bahnhof,11.583002840274956
Albbruck Bahnhof,Uhldingen-Mühlhofen Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.7369576,9.248578,06:12:00,08:01:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Uhldingen-Mühlhofen Bahnhof,85.16597210569172
Albbruck Bahnhof,Waldshut Bahnhof,Train Longue Distance Nuit,47.5922386,8.1317835,47.621292,8.2193602,06:12:00,06:19:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Waldshut Bahnhof,7.317331909817833
Albbruck Bahnhof,Wehr-Brennet Bahnhof,Train Longue Distance,47.5922144,8.1315858,47.5808903,7.9105823,21:39:00,21:57:00,,mobility_db,FR_bodo_Verkehrsverbund_mdb-769,Albbruck Bahnhof,Wehr-Brennet Bahnhof,16.62263630824655
