origin,destination,vehicule_type,station_lat,station_long,station_lat_dest,station_long_dest,departure_time,arrival_time,shape_distance_km,source,provider,origin_city,destination_city,distance_km,co2_kg,airport_origin_name,airport_dest_name
Gare de Meung-sur-Loire,Gare de Ancenis,Train Longue Distance,47.8299537,1.6919208,47.369337,-1.1777593,16:51:00,19:40:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de Ancenis,221.1646772361008,1.7556052079001683,,
Gare de Meung-sur-Loire,Gare de Angers Saint-Laud,Train Longue Distance,47.8299537,1.6919208,47.4646464,-0.5567748,16:51:00,19:17:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de Angers Saint-Laud,173.27380497566878,1.3754474638968588,,
Gare de Meung-sur-Loire,Gare de Batz-sur-Mer,Train Longue Distance,47.8299537,1.6919208,47.28086,-2.4788695,16:51:00,21:18:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de Batz-sur-Mer,318.8455368455178,2.5309958714797203,,
Gare de Meung-sur-Loire,Gare de La Baule les Pins,Train Longue Distance,47.8299537,1.6919208,47.2834533,-2.3648905,16:51:00,21:04:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de La Baule les Pins,310.3940003811604,2.463907575025651,,
Gare de Meung-sur-Loire,Gare de La Baule-Escoublac,Train Longue Distance,47.8299537,1.6919208,47.2884613,-2.389211,16:51:00,21:09:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de La Baule-Escoublac,312.0610917488811,2.477140946302618,,
Gare de Meung-sur-Loire,Gare de Le Croisic,Train Longue Distance,47.8299537,1.6919208,47.2898903,-2.5073397,16:51:00,21:22:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de Le Croisic,320.7259365182442,2.5459224840818226,,
Gare de Meung-sur-Loire,Gare de Le Pouliguen,Train Longue Distance,47.8299537,1.6919208,47.2825083,-2.4331287,16:51:00,21:13:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de Le Pouliguen,315.4383161754115,2.503949353800416,,
Gare de Meung-sur-Loire,Gare de Nantes,Train Longue Distance,47.8299537,1.6919208,47.2174913,-1.542077,16:51:00,20:06:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de Nantes,252.18217344587322,2.0018220928133417,,
Gare de Meung-sur-Loire,Gare de Pornichet,Train Longue Distance,47.8299537,1.6919208,47.2704262,-2.3448644,16:51:00,21:00:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de Pornichet,309.24581475377227,2.454793277515444,,
Gare de Meung-sur-Loire,Gare de Saint-Nazaire,Train Longue Distance,47.8299537,1.6919208,47.2864903,-2.211079,16:51:00,20:47:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de Saint-Nazaire,299.0109440338461,2.3735488737406705,,
Gare de Meung-sur-Loire,Gare de Saumur,Train Longue Distance,47.8299537,1.6919208,47.2689958,-0.0714032,16:51:00,18:53:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de Saumur,146.29826273527604,1.1613156095926214,,
Gare de Meung-sur-Loire,Gare de Savenay,Train Longue Distance,47.8299537,1.6919208,47.3586008,-1.951011,16:51:00,20:32:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Meung-sur-Loire,Gare de Savenay,278.127703608079,2.207777711240931,,
Gare de Montbizot,Gare de Caen,EuroNight,48.1513199,0.1908174,49.1763537,-0.347613,16:51:00,18:31:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montbizot,Gare de Caen,120.64229566612251,0.9576585429976805,,
Gare de Montbizot,Gare de Mézidon - Canon,EuroNight,48.1513199,0.1908174,49.070913,-0.0749139,16:51:00,18:17:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montbizot,Gare de Mézidon - Canon,104.10340190227784,0.8263728043002816,,
Gare de Montfort-le-Gesnois,Gare de Maintenon,Train Longue Distance Nuit,48.0405728,0.4062319,48.5854799,1.5920603,06:51:00,08:45:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montfort-le-Gesnois,Gare de Maintenon,106.58799006560002,0.846095465140733,,
Gare de Montfort-le-Gesnois,Gare de Paris Montparnasse Hall 1 - 2,Train Longue Distance Nuit,48.0405728,0.4062319,48.8411711,2.3205138,06:51:00,09:36:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montfort-le-Gesnois,Gare de Paris Montparnasse Hall 1 - 2,166.92003740310744,1.325011256905867,,
Gare de Montfort-le-Gesnois,Gare de Rambouillet,Train Longue Distance Nuit,48.0405728,0.4062319,48.6437724,1.83154,06:51:00,09:03:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montfort-le-Gesnois,Gare de Rambouillet,124.88051444041555,0.9913015236280186,,
Gare de Montfort-le-Gesnois,Gare de Versailles Chantiers,Train Longue Distance Nuit,48.0405728,0.4062319,48.795829,2.1358823,06:51:00,09:25:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montfort-le-Gesnois,Gare de Versailles Chantiers,152.78894018028035,1.2128386071510653,,
Gare de Montfort-le-Gesnois,Gare de Épernon,Train Longue Distance Nuit,48.0405728,0.4062319,48.6052007,1.681363,06:51:00,08:52:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montfort-le-Gesnois,Gare de Épernon,113.26900628738174,0.8991293719092364,,
Gare de Montlouis,Gare de Ancenis,Train Longue Distance,47.3915629,0.8174732,47.369337,-1.1777593,07:44:00,09:28:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montlouis,Gare de Ancenis,150.24344878391395,1.192632496446709,,
Gare de Montlouis,Gare de Angers Saint-Laud,Train Longue Distance,47.3915629,0.8174732,47.4646464,-0.5567748,07:44:00,09:04:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montlouis,Gare de Angers Saint-Laud,103.69537577811745,0.8231338929266964,,
Gare de Montlouis,Gare de Nantes,Train Longue Distance,47.3915629,0.8174732,47.2174913,-1.542077,07:44:00,09:46:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montlouis,Gare de Nantes,178.9562669910133,1.4205548473746636,,
Gare de Montreuil-Bellay,Gare de La Roche-sur-Yon,Train Longue Distance,47.1254197,-0.1482834,46.6720757,-1.4356603,15:06:00,17:20:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montreuil-Bellay,Gare de La Roche-sur-Yon,110.0364778500217,0.8734695611734723,,
Gare de Montville,Gare de Paris Saint-Lazare,Train Longue Distance,49.5512834,1.0700462,48.8762428,2.3253309,19:00:00,20:48:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montville,Gare de Paris Saint-Lazare,118.09855316902531,0.937466315055723,,
Gare de Montérolier - Buchy,Gare de Achiet,EuroNight,49.6031673,1.334721,50.1319184,2.7801146,07:29:00,09:08:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montérolier - Buchy,Gare de Achiet,119.11196414056703,0.9455107713478211,,
Gare de Montérolier - Buchy,Gare de Albert,EuroNight,49.6031673,1.334721,50.0053968,2.6444827,11:42:00,13:10:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montérolier - Buchy,Gare de Albert,104.09191775509501,0.8262816431399443,,
Gare de Montérolier - Buchy,Gare de Arras,EuroNight,49.6031673,1.334721,50.2868105,2.78016,11:42:00,13:30:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montérolier - Buchy,Gare de Arras,128.35714774997408,1.0188990388392942,,
Gare de Montérolier - Buchy,Gare de Douai,EuroNight,49.6031673,1.334721,50.3716757,3.0899613,11:42:00,13:45:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montérolier - Buchy,Gare de Douai,151.81480097818138,1.2051058901648037,,
Gare de Montérolier - Buchy,Gare de Lille Flandres,EuroNight,49.6031673,1.334721,50.6365763,3.0698721,11:42:00,14:07:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Montérolier - Buchy,Gare de Lille Flandres,168.83582393666882,1.3402187704092772,,
Gare de Morannes,Gare de Batz-sur-Mer,Train Longue Distance,47.7390037,-0.4181549,47.28086,-2.4788695,07:33:00,10:20:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Morannes,Gare de Batz-sur-Mer,162.9382671377893,1.2934039645397715,,
Gare de Morannes,Gare de La Baule les Pins,Train Longue Distance,47.7390037,-0.4181549,47.2834533,-2.3648905,07:33:00,10:08:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Morannes,Gare de La Baule les Pins,154.7325810499738,1.2282672283746918,,
Gare de Morannes,Gare de La Baule-Escoublac,Train Longue Distance,47.7390037,-0.4181549,47.2884613,-2.389211,07:33:00,10:12:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Morannes,Gare de La Baule-Escoublac,156.27347589461988,1.2404988516514925,,
Gare de Morannes,Gare de Le Croisic,Train Longue Distance,47.7390037,-0.4181549,47.2898903,-2.5073397,07:33:00,10:24:00,,mobility_db,FR_BreizhGo_mdb-1837,Gare de Morannes,Gare de Le Croisic,164.6504551566331,1.3069953130333534,,
