origin,destination,vehicule_type,co2_train_kg,co2_avion_kg,co2_saved_kg,is_substitutable,distance_km,station_lat,station_long,station_lat_dest,station_long_dest,origin_city,destination_city,origin_station_traffic,origin_city_population,dest_station_traffic,dest_city_population
Aulendorf Bahnhof,Lauchringen Bahnhof,Train Longue Distance,1.6683395973920787,66.18052896768648,64.51218937029441,1,105.08563853565626,47.9529683,9.6438996,47.6289993,8.3224329,Aulendorf Bahnhof,Lauchringen Bahnhof,,,319716.0,
Aulendorf Bahnhof,Rheinfelden (Baden) Bahnhof,Train Longue Distance,2.3149842431505876,97.46319174659945,95.14820750344886,1,145.81659379885284,47.9529683,9.6438996,47.5569071,7.784378,Aulendorf Bahnhof,Rheinfelden (Baden) Bahnhof,,,,32535.0
Aulendorf Bahnhof,Tiengen (Hochrhein) Bahnhof,Train Longue Distance,1.7203894108427056,66.18052896768648,64.46013955684379,1,108.3641604209313,47.9529683,9.6438996,47.635513,8.2723429,Aulendorf Bahnhof,Tiengen (Hochrhein) Bahnhof,,,,
Aulendorf Bahnhof,Waldshut Bahnhof,Train Longue Distance,1.7880390288986894,66.18052896768648,64.39248993878779,1,112.62528526698723,47.9529683,9.6438996,47.6215161,8.2193782,Aulendorf Bahnhof,Waldshut Bahnhof,,,,
Aurillac,Paris Austerlitz,InterCity,3.460877362381138,129.0684677155861,125.60759035320497,1,435.98858180664377,44.9212,2.43623,48.84185,2.36646,Aurillac,Paris Austerlitz,204937.0,26214.0,23798578.0,2103778.0
Bad Schussenried,Bad Säckingen Bahnhof,Train Longue Distance,2.1813896560916946,89.31685650156261,87.13546684547092,1,137.40171681101629,47.9937673,9.668244,47.5559371,7.9487877,Bad Schussenried,Bad Säckingen Bahnhof,106903.0,,,16549.0
Bad Schussenried,Badischer Bahnhof,Train Longue Distance,2.556700215006045,107.34791910933423,104.79121889432818,1,161.04183767989701,47.9937673,9.668244,47.5677212,7.6082453,Bad Schussenried,Badischer Bahnhof,106903.0,,,
Bad Schussenried,Rheinfelden (Baden) Bahnhof,Train Longue Distance,2.3642049294021312,97.46319174659945,95.09898681719731,1,148.91691417246983,47.9937673,9.668244,47.5569071,7.784378,Bad Schussenried,Rheinfelden (Baden) Bahnhof,106903.0,,,32535.0
Bad Schussenried,Tiengen (Hochrhein) Bahnhof,Train Longue Distance,1.7715084900757405,66.18052896768648,64.40902047761074,1,111.58405707204211,47.9937673,9.668244,47.635513,8.2723429,Bad Schussenried,Tiengen (Hochrhein) Bahnhof,106903.0,,,
Bad Schussenried,Waldshut Bahnhof,Train Longue Distance,1.839192932179777,66.18052896768648,64.34133603550671,1,115.84737542074684,47.9937673,9.668244,47.6215161,8.2193782,Bad Schussenried,Waldshut Bahnhof,106903.0,,,
