origin,destination,vehicule_type,origin_city,destination_city,station_lat,station_long,station_lat_dest,station_long_dest,distance_km,co2_kg,departure_time,arrival_time,source,provider
Gare de Folligny,Gare de Dreux,EuroNight,Gare de Folligny,Gare de Dreux,48.8299473,-1.407223,48.731493,1.3701634,203.78496345244147,1.6176450398854807,18:52:00,21:15:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de L'Aigle,Avion,Gare de Folligny,Gare de L'Aigle,48.883099,-1.56417,48.758502,0.656632,163.17388539632108,104.68179304108492,,,airports,OurAirports
Gare de Folligny,Gare de L'Aigle,EuroNight,Gare de Folligny,Gare de L'Aigle,48.8299473,-1.407223,48.7662297,0.620014,148.650948096196,1.179991225987604,18:52:00,20:40:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Nonancourt,Avion,Gare de Folligny,Gare de Nonancourt,48.883099,-1.56417,48.897669,1.250839,205.80233461709017,82.9429786497773,,,airports,OurAirports
Gare de Folligny,Gare de Nonancourt,EuroNight,Gare de Folligny,Gare de Nonancourt,48.8299473,-1.407223,48.7757617,1.1928376,190.5112228873892,1.5122780872800954,18:35:00,21:07:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Paris Montparnasse Hall 1 - 2,Avion,Gare de Folligny,Gare de Paris Montparnasse Hall 1 - 2,48.883099,-1.56417,48.774406,2.203102,276.0042155417165,111.23591867661973,,,airports,OurAirports
Gare de Folligny,Gare de Paris Montparnasse Hall 1 - 2,EuroNight,Gare de Folligny,Gare de Paris Montparnasse Hall 1 - 2,48.8299473,-1.407223,48.8411711,2.3205138,272.81231412534055,2.1655841495269534,18:52:00,22:06:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Sainte-Gauburge,Avion,Gare de Folligny,Gare de Sainte-Gauburge,48.883099,-1.56417,48.758502,0.656632,163.17388539632108,104.68179304108492,,,airports,OurAirports
Gare de Folligny,Gare de Sainte-Gauburge,EuroNight,Gare de Folligny,Gare de Sainte-Gauburge,48.8299473,-1.407223,48.7172834,0.4281636,135.0786079022565,1.072253989528112,18:35:00,20:27:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Surdon,Avion,Gare de Folligny,Gare de Surdon,48.883099,-1.56417,48.709456,0.002856,116.39252773821963,74.66990487250939,,,airports,OurAirports
Gare de Folligny,Gare de Surdon,EuroNight,Gare de Folligny,Gare de Surdon,48.8299473,-1.407223,48.6647706,0.1344098,114.51256703939288,0.9090007571587007,18:52:00,20:18:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Verneuil-sur-Avre,Avion,Gare de Folligny,Gare de Verneuil-sur-Avre,48.883099,-1.56417,48.611944,0.841944,178.96512873244777,114.81243167090511,,,airports,OurAirports
Gare de Folligny,Gare de Verneuil-sur-Avre,EuroNight,Gare de Folligny,Gare de Verneuil-sur-Avre,48.8299473,-1.407223,48.7424865,0.9291927,171.44220513000744,1.3609082243219992,18:52:00,20:54:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Folligny,Gare de Versailles Chantiers,Avion,Gare de Folligny,Gare de Versailles Chantiers,48.883099,-1.56417,48.812459,2.067533,265.83384865442105,107.1370316296732,,,airports,OurAirports
Gare de Folligny,Gare de Versailles Chantiers,EuroNight,Gare de Folligny,Gare de Versailles Chantiers,48.8299473,-1.407223,48.795829,2.1358823,259.44501880165495,2.059474559247537,18:35:00,21:55:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Langeais,Avion,Gare de Fougeré,Gare de Langeais,46.7019,-1.37863,47.418534,0.323495,151.56648552088612,97.23523730973017,,,airports,OurAirports
Gare de Fougeré,Gare de Langeais,Train Longue Distance,Gare de Fougeré,Gare de Langeais,46.6653633,-1.2321027,47.3240248,0.4097404,144.45849744892158,1.1467115527495395,14:17:00,16:48:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Saumur,Avion,Gare de Fougeré,Gare de Saumur,46.7019,-1.37863,47.256802,-0.115142,113.99348657453474,73.13083549272511,,,airports,OurAirports
Gare de Fougeré,Gare de Saumur,Train Longue Distance,Gare de Fougeré,Gare de Saumur,46.6653633,-1.2321027,47.2689958,-0.0714032,110.73405362365588,0.8790069176645803,14:17:00,16:26:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Fougeré,Gare de Tours,Avion,Gare de Fougeré,Gare de Tours,46.7019,-1.37863,47.432201,0.727606,178.9961891180568,114.83235800194888,,,airports,OurAirports
Gare de Fougeré,Gare de Tours,Train Longue Distance,Gare de Fougeré,Gare de Tours,46.6653633,-1.2321027,47.3898771,0.6928408,166.65946406257513,1.3229428257287212,14:17:00,17:04:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Frénouville - Cagny,Gare de Évreux Normandie,Avion,Gare de Frénouville - Cagny,Gare de Évreux Normandie,49.02,-0.198333,49.028702,1.21986,103.41022789965594,66.34130240283702,,,airports,OurAirports
Gare de Frénouville - Cagny,Gare de Évreux Normandie,Train Longue Distance,Gare de Frénouville - Cagny,Gare de Évreux Normandie,49.1411537,-0.26041,49.0187469,1.1496289,103.59421025988387,0.8223308410429581,18:28:00,19:47:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Gazeran,Gare de Champagné,Avion,Gare de Gazeran,Gare de Champagné,48.582222,1.728889,47.948604,0.201702,133.19751668832168,85.45089700896287,,,airports,OurAirports
Gare de Gazeran,Gare de Champagné,Train Longue Distance,Gare de Gazeran,Gare de Champagné,48.625821,1.7718286,48.0197494,0.3356649,125.76293890803376,0.998306209051972,16:49:00,19:10:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Gazeran,Gare de Connerré - Beillé,Train Longue Distance,Gare de Gazeran,Gare de Connerré - Beillé,48.625821,1.7718286,48.0737072,0.4869016,113.06928253400719,0.897543964754949,16:49:00,18:56:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Gazeran,Gare de Le Mans,Avion,Gare de Gazeran,Gare de Le Mans,48.582222,1.728889,47.948604,0.201702,133.19751668832168,85.45089700896287,,,airports,OurAirports
Gare de Gazeran,Gare de Le Mans,Train Longue Distance,Gare de Gazeran,Gare de Le Mans,48.625821,1.7718286,47.9956159,0.1926141,136.19631842720804,1.0811263756751772,16:49:00,19:18:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Gazeran,Gare de Montfort-le-Gesnois,Avion,Gare de Gazeran,Gare de Montfort-le-Gesnois,48.582222,1.728889,47.948604,0.201702,133.19751668832168,85.45089700896287,,,airports,OurAirports
Gare de Gazeran,Gare de Montfort-le-Gesnois,Train Longue Distance,Gare de Gazeran,Gare de Montfort-le-Gesnois,48.625821,1.7718286,48.0405728,0.4062319,120.10301761879299,0.9533777538579787,16:49:00,19:02:00,mobility_db,FR_BreizhGo_mdb-1837
Gare de Gazeran,Gare de Saint-Mars-la-Brière,Avion,Gare de Gazeran,Gare de Saint-Mars-la-Brière,48.582222,1.728889,47.948604,0.201702,133.19751668832168,85.45089700896287,,,airports,OurAirports
