origin,destination,distance_km,co2_saved_kg,is_substitutable,cluster_kmeans,cluster_dbscan
Friedrichshafen Stadtbahnhof,Sontheim (Brenz),117.39090983186986,75.59945321471034,1,0,0
Friedrichshafen Stadtbahnhof,Stuttgart Hauptbahnhof (oben) Gleis 11,127.65956358024194,86.06357368579908,1,0,0
Friedrichshafen Stadtbahnhof,Stuttgart Hauptbahnhof (oben) Gleis 12,127.65956358024194,86.06357368579908,1,0,0
Friedrichshafen Stadtbahnhof,Stuttgart Hauptbahnhof (oben) Gleis 13,127.65492577625218,86.0635777763422,1,0,0
Friedrichshafen Stadtbahnhof,Stuttgart Hauptbahnhof (oben) Gleis 14,127.6446373522191,86.06358685073221,1,0,0
Friedrichshafen Stadtbahnhof,Stuttgart Hauptbahnhof (oben) Gleis 3,127.6446373522191,86.06358685073221,1,0,0
Friedrichshafen Stadtbahnhof,Stuttgart Hauptbahnhof (oben) Gleis 9,127.6446373522191,86.06358685073221,1,0,0
Friedrichshafen Stadtbahnhof,Süßen Gleis 3,116.56250554411736,73.46377093701703,1,0,0
Friedrichshafen Stadtbahnhof,Uhingen Gleis 2,117.66853838969269,70.5303001306993,1,0,0
Friedrichshafen Stadtbahnhof,Westerstetten,102.56489736166856,64.77008765778248,1,0,0
Gare de Abancourt,Gare de Douai,121.04214810077254,70.01082258947396,1,0,0
Gare de Abancourt,Gare de Lille Flandres,140.34803448212614,90.32022434531147,1,0,0
Gare de Achiet,Gare de Montérolier - Buchy,119.11196414056704,81.39897991545611,1,0,0
Gare de Achiet,Gare de Morgny,129.12585780649314,80.41305888402738,1,0,0
Gare de Achiet,Gare de Rouen Rive Droite,142.89633491237322,80.1458565462649,1,0,0
Gare de Albert,Gare de Longuerue - Vieux-Manoir,110.18241632096364,80.7806374226126,1,0,0
Gare de Albert,Gare de Montérolier - Buchy,104.091917755095,81.6904288955198,1,0,0
Gare de Albert,Gare de Morgny,113.78884109993614,80.71065835620142,1,0,0
Gare de Albert,Gare de Rouen Rive Droite,127.47731657982725,80.44504717798961,1,0,0
Gare de Alençon,Gare de Saint-Pierre-des-Corps,125.47063305884618,77.18766462319338,1,2,0
Gare de Alençon,Gare de Tours,124.25069765639644,77.19734847041802,1,0,0
Gare de Amboise,Gare de Ancenis,162.64896729222335,101.3991798698197,1,0,0
Gare de Amboise,Gare de Angers Saint-Laud,115.80121674819208,72.99797486800192,1,0,0
Gare de Amboise,Gare de Batz-sur-Mer,261.1530142980163,97.97247697381904,1,0,0
Gare de Amboise,Gare de La Baule les Pins,252.5605385309297,98.04068404645818,1,0,0
Gare de Amboise,Gare de La Baule-Escoublac,254.3438923024764,98.02652778421964,1,0,0
Gare de Amboise,Gare de Le Croisic,263.2133282109692,97.95612220197802,1,0,0
Gare de Amboise,Gare de Le Pouliguen,257.6991821862513,97.99989349312224,1,0,0
Gare de Amboise,Gare de Nantes,191.58577335839283,76.69990019487322,1,0,0
Gare de Amboise,Gare de Pornichet,251.1785769460136,98.05165405751924,1,0,0
Gare de Amboise,Gare de Saint-Nazaire,240.97028165950857,92.21058934407868,1,0,0
Gare de Amboise,Gare de Savenay,220.8749125149457,88.06905114562466,1,0,0
Gare de Amiens,Gare de Rouen Rive Droite,100.24579146241774,64.98803586140686,1,0,0
Gare de Ancenis,Gare de Amboise,162.64896729222335,101.3991798698197,1,0,0
Gare de Ancenis,Gare de Beaugency,215.1726727797946,83.00953417385908,1,0,0
