trip_id,agency_name,route_name,train_type,service_type,origin_stop_name,origin_country,destination_stop_name,destination_country,departure_time,arrival_time,distance_km,duration_h,emission_gco2e_pkm,total_emission_kgco2e,source_dataset
CFR IC 472,C.F.R. Călători S.A.,Ister,Train régional,International,București Nord,HU,Budapest Keleti,RO,18:25,08:50,870.0,14:25:00,24.71,21.5,Back-on-Track
CFR IC 473,C.F.R. Călători S.A.,Ister,Train régional,International,Budapest-Keleti,HU,București Nord,RO,19:10,11:35,870.0,16:25:00,24.71,21.5,Back-on-Track
CFR R 4116,C.F.R. Călători S.A.,R 4116 = 1641/R 4112,Train régional,National,Sighetu Marmației,RO,București Nord,RO,15:52,07:04,606.0,15:12:00,25.58,15.5,Back-on-Track
CFR R-E 4007/1642,C.F.R. Călători S.A.,R-E 4007/1642 = 1641/R-E 4008,Train régional,National,Bistrița Nord,RO,București Nord,RO,21:25,06:20,451.0,8:55:00,21.95,9.9,Back-on-Track
CFR/MÁV / IC 78,Opérateur non renseigné,Non renseigné,Train de nuit,National,București Nord,XX,București Nord,XX,21:00,,,,14.0,,Back-on-Track
CFR/MÁV IC 406,Opérateur non renseigné,Corona,Train régional,International,Brașov,HU,Budapest Keleti,RO,18:51,09:55,803.0,15:04:00,16.31,13.1,Back-on-Track
CFR/MÁV IC 407,Opérateur non renseigné,Corona,Train régional,International,Budapest Keleti,HU,Brașov,RO,17:40,09:43,803.0,16:03:00,16.31,13.1,Back-on-Track
CFR/MÁV IRN / IC 78,Opérateur non renseigné,Muntenia,Train régional,International,București Nord,HU,Budapest Keleti,RO,21:00,12:50,858.0,15:50:00,21.21,18.2,Back-on-Track
CFR/MÁV IRN / IC 79,Opérateur non renseigné,Muntenia,Train régional,International,Budapest Keleti,HU,București Nord,RO,15:10,08:42,858.0,17:32:00,21.21,18.2,Back-on-Track
CFR/MÁV/ÖBB D 346,Opérateur non renseigné,Dacia,Train régional,International,București Nord,AT,Cluj-Napoca,RO,14:07,08:21,1157.0,18:14:00,21.35,24.7,Back-on-Track
CFR/MÁV/ÖBB D 347,Opérateur non renseigné,Dacia,Train régional,International,Wien Hbf,AT,București Nord,RO,19:42,15:06,1157.0,19:24:00,21.35,24.7,Back-on-Track
CS 1001 (A),Caledonian Sleeper Ltd.,Highlander,Train régional,National,London Euston,GB,Aberdeen,GB,21:15,07:40,877.0,10:25:00,20.64,18.1,Back-on-Track
CS 1001 (FW),Caledonian Sleeper Ltd.,Highlander,Train régional,National,London Euston,GB,Fort William,GB,21:15,10:00,839.0,12:45:00,22.41,18.8,Back-on-Track
CS 1001 (I),Caledonian Sleeper Ltd.,Highlander,Train régional,National,London Euston,GB,Inverness,GB,21:15,08:45,914.0,11:30:00,20.68,18.9,Back-on-Track
CS 1002 (A),Caledonian Sleeper Ltd.,Highlander,Train régional,National,Aberdeen,GB,London Euston,GB,21:43,08:00,877.0,10:17:00,20.64,18.1,Back-on-Track
CS 1002 (FW),Caledonian Sleeper Ltd.,Highlander,Train régional,National,Fort William,GB,London Euston,GB,19:50,08:00,839.0,12:10:00,22.41,18.8,Back-on-Track
CS 1002 (I),Caledonian Sleeper Ltd.,Highlander,Train régional,National,Inverness,GB,London Euston,GB,20:45,08:00,914.0,11:15:00,20.68,18.9,Back-on-Track
CS 1003 (E),Caledonian Sleeper Ltd.,Lowlander,Train régional,National,London Euston,GB,Edinburgh Waverley,GB,23:45,07:30,644.0,7:45:00,22.83,14.7,Back-on-Track
CS 1003 (G),Caledonian Sleeper Ltd.,Lowlander,Train régional,National,London Euston,GB,Glasgow Central,GB,23:45,07:30,645.0,7:45:00,22.64,14.6,Back-on-Track
CS 1004 (E),Caledonian Sleeper Ltd.,Lowlander,Train régional,National,Edinburgh Waverley,GB,London Euston,GB,23:40,07:15,644.0,7:35:00,22.83,14.7,Back-on-Track
