stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
de:08337:4068:0:1,,Bad Säckingen Jurastraße,47.5512627,7.9269406,,,,0,
de:08337:4068:0:2,,Bad Säckingen Jurastraße,47.5515719,7.9280905,,,,0,
de:08337:4069:0:1,,Wallbach Kirche,47.5665332,7.9145079,,,,0,
de:08337:4069:0:2,,Wallbach Kirche,47.5656846,7.9149571,,,,0,
de:08337:4070:0:1,,Wallbach Bündtenstraße,47.5720001,7.9130527,,,,0,
de:08337:4070:0:2,,Wallbach Bündtenstraße,47.5716668,7.9129988,,,,0,
de:08337:4072:0:1,,Brennet Wehratalstraße,47.5873312,7.912352,,,,0,
de:08337:4072:0:2,,Brennet Wehratalstraße,47.5862709,7.9119477,,,,0,
de:08337:4073:0:1,,Öflingen Schule,47.5926869,7.9140408,,,,0,
de:08337:4073:0:2,,Öflingen Schule,47.5923174,7.9139151,,,,0,
de:08337:4074:0:1,,Öflingen Brühlstraße,47.5998291,7.9158195,,,,0,
de:08337:4074:0:2,,Öflingen Brühlstraße,47.5998715,7.9157566,,,,0,
de:08337:4075:0:1,,Wehr Hölzle,47.6088659,7.9158015,,,,0,
de:08337:4075:0:2,,Wehr Hölzle,47.6088477,7.9157925,,,,0,
de:08337:4076:0:1,,Wehr Enkendorfstraße,47.6155335,7.908085,,,,0,
de:08337:4076:0:2,,Wehr Enkendorfstraße,47.6155032,7.9080221,,,,0,
de:08337:4077:0:1,,Wehr Novartis,47.6197965,7.9053182,,,,0,
de:08337:4077:0:2,,Wehr Novartis,47.6195785,7.9052553,,,,0,
de:08337:4078:0:1,,Wehr Bf (Bus),47.6242407,7.9041594,,,,0,
de:08337:4078:0:2,,Wehr Bf (Bus),47.6241499,7.9043749,,,,0,
de:08337:4079:0:1,,Wehr kath. Kirche,47.629859,7.9028568,,,,0,
de:08337:4079:0:2,,Wehr kath. Kirche,47.6293263,7.9023178,,,,0,
de:08337:4081:0:1,,Bad Säckingen Rheingruittäcker,47.5512445,7.921928,,,,0,
de:08337:4082:0:1,,B. Säck. Langfuhren/Trottäcker,47.5500683,7.9300668,,,,0,
de:08337:4083:0:1,,Wehr Flienken,47.6331946,7.8987515,,,,0,
de:08337:4083:0:2,,Wehr Flienken,47.6331401,7.899551,,,,0,
