station_lat,station_long,airport_name,aero_lat,aero_long,iata_code,country_code,station_airport_km,station_name
49.5566792,1.2762275,Rouen Vallée de Seine Airport,49.384887,1.179142,URO,FR,20.349839719614035,Gare de Longuerue - Vieux-Manoir
47.7555982,-3.3662209,Lorient South Brittany (Bretagne Sud) Airport,47.760601,-3.44,LRT,FR,5.543129449898712,Gare de Lorient
48.5854799,1.5920603,Les Ailes d'Eure et Loir Airfield,48.59244,1.53759,,FR,4.080390554119529,Gare de Maintenon
48.9898402,1.70337,Mantes-Chérence Airfield,49.078814,1.68829,,FR,9.954325379915403,Gare de Mantes-la-Jolie
47.7058923,1.5063578,Beaugency Airfield,47.749467,1.578984,,FR,7.279072748094867,Gare de Mer
47.8299537,1.6919208,Cravant Les Lilas Airfield,47.836706,1.617899,,FR,5.57606293892658,Gare de Meung-sur-Loire
48.1902428,-2.052675,Queneleuc Airfield,48.098333,-2.076389,,FR,10.370254277638326,Gare de Montauban-de-Bretagne
48.1513199,0.1908174,Assé le Riboul Airfield,48.195278,0.099444,,FR,8.354725840585976,Gare de Montbizot
48.0405728,0.4062319,Le Mans-Arnage Airport,47.948604,0.201702,LME,FR,18.336059365708607,Gare de Montfort-le-Gesnois
48.1388793,-1.9491409,Queneleuc Airfield,48.098333,-2.076389,,FR,10.466771151489777,Gare de Montfort-sur-Meu
47.3915629,0.8174732,Tours Val de Loire Airport,47.432201,0.727606,TUF,FR,8.133166719073053,Gare de Montlouis
47.1254197,-0.1482834,Cizay-la-Madeleine UL,47.17962,-0.15915,,FR,6.082557598451048,Gare de Montreuil-Bellay
49.5512834,1.0700462,Pavilly Airfield,49.601111,0.9875,,FR,8.131546968536538,Gare de Montville
49.6031673,1.334721,Pavilly Airfield,49.601111,0.9875,,FR,25.02332440300568,Gare de Montérolier - Buchy
47.7390037,-0.4181549,Solib'Ailes Airfield,47.7775,-0.514167,,FR,8.356678216547785,Gare de Morannes
49.5228742,1.2473588,Rouen Vallée de Seine Airport,49.384887,1.179142,URO,FR,16.11633890245717,Gare de Morgny
48.5779705,-3.832514,Morlaix-Ploujean Airport,48.6031990051,-3.81577992439,MXN,FR,3.0633935285097995,Gare de Morlaix
49.070913,-0.0749139,Rouvres Airfield,49.02,-0.198333,,FR,10.62847844318656,Gare de Mézidon - Canon
47.2174913,-1.542077,Nantes Atlantique Airport,47.153198,-1.61073,NTE,FR,8.833279846322098,Gare de Nantes
47.5578523,0.5647897,Neuvy le Roi Airfield,47.586667,0.628611,,FR,5.76098052605986,Gare de Neuillé-Pont-Pierre
48.0704854,0.1996015,Le Mans-Arnage Airport,47.948604,0.201702,LME,FR,13.553494091678832,Gare de Neuville
48.3257654,0.810313,BELLEME St Germain de la Coudr Airfield,48.300556,0.581111,,FR,17.179978886412755,Gare de Nogent-le-Rotrou
48.7757617,1.1928376,Saint-André-de-l'Eure Airfield,48.897669,1.250839,,FR,14.20463096388495,Gare de Nonancourt
48.1187915,-1.5277647,La Baillée sous Champ Fleu Airfield,48.1875,-1.496389,,FR,7.986713018883162,Gare de Noyal - Acigné
47.874387,-0.0982489,La Flèche-Thorée-les-Pins Airfield,47.69261,-0.002198,,FR,21.448879989831337,Gare de Noyen
49.3430833,1.1019373,Rouen Vallée de Seine Airport,49.384887,1.179142,URO,FR,7.270816176818943,Gare de Oissel
47.4920275,1.1860922,Chouzy-sur-Cisse Airfield,47.506944,1.232778,,FR,3.8796077370221074,Gare de Onzain - Chaumont-sur-Loire
47.907891,1.9042468,Mardié Airfield,47.903611,2.067778,,FR,12.198860594305243,Gare de Orléans
48.8411711,2.3205138,Vélizy-Villacoublay Air Base,48.774406,2.203102,VIY,FR,11.359784799459783,Gare de Paris Montparnasse Hall 1 - 2
48.8411711,2.3205138,Vélizy-Villacoublay Air Base,48.774406,2.203102,VIY,FR,11.359784799459783,Gare de Paris Montparnasse Vaugirard
48.8762428,2.3253309,Paris-Le Bourget International Airport,48.962276,2.436539,LBG,FR,12.551732492595743,Gare de Paris Saint-Lazare
48.4257122,-2.4424838,Dinan-Trélivan Airfield,48.443351,-2.103142,,FR,25.111666335737187,Gare de Plestan
48.606423,-3.4669791,Lannion Airport,48.754398,-3.47166,LAI,FR,16.45765770294118,Gare de Plouaret Trégor
48.3766559,-2.3546105,Dinan-Trélivan Airfield,48.443351,-2.103142,,FR,19.987799485692744,Gare de Plénée-Jugon
49.7777843,1.9898979,Poix de Picardie Airfield,49.780278,2.001944,,FR,0.9083025109814895,Gare de Poix-de-Picardie
49.2870445,0.1919739,Deauville Normandie airport,49.365237,0.154481,DOL,FR,9.109293776643055,Gare de Pont-l'Évêque
48.1186426,-1.6911174,Rennes-Saint-Jacques Airport,48.0695,-1.73479,RNS,FR,6.354520769378954,Gare de Pontchaillou
47.4353376,-2.0885275,Campbon La Berthelière Airfield,47.420833,-2.011944,,FR,5.9825020144220655,Gare de Pontchâteau
48.5527292,-1.5049304,Mont Saint Michel Airfield,48.604444,-1.551667,,FR,6.699899632912134,Gare de Pontorson - Mont-Saint-Michel
47.2704262,-2.3448644,La Baule-Escoublac Airport,47.289398,-2.34639,LBY,FR,2.112704795937459,Gare de Pornichet
47.2488391,0.1556491,Aérodrome de Saumur - Saint-Florent,47.256802,-0.115142,,FR,20.45716733604661,Gare de Port Boulet
46.7524179,-0.8145972,Breuil Barret Airfield,46.660556,-0.663611,,FR,15.39093498874739,Gare de Pouzauges
47.6830213,-2.4496212,Pleucadeuc private airfield,47.78777,-2.36109,,FR,13.39774372115557,Gare de Questembert
