dep_name,arr_name,dep_city,arr_city,distance_km,is_long_distance
Eriskirch Bahnhof,Geislingen (Steige) Gleis 2,Eriskirch Bahnhof,Geislingen (Steige) Gleis 2,112.61477023983745,true
Eriskirch Bahnhof,Geislingen (Steige) Gleis 3,Eriskirch Bahnhof,Geislingen (Steige) Gleis 3,112.62134663918357,true
Eriskirch Bahnhof,Göppingen Gleis 4,Eriskirch Bahnhof,Göppingen Gleis 4,119.51360273503931,true
Eriskirch Bahnhof,Plochingen Gleis 1,Eriskirch Bahnhof,Plochingen Gleis 1,120.89560308537773,true
Eriskirch Bahnhof,Stuttgart Hauptbahnhof (oben) Gleis 11,Eriskirch Bahnhof,Stuttgart Hauptbahnhof (oben) Gleis 11,131.09791401863663,true
Eriskirch Bahnhof,Stuttgart Hauptbahnhof (oben) Gleis 13,Eriskirch Bahnhof,Stuttgart Hauptbahnhof (oben) Gleis 13,131.08423127608543,true
Eriskirch Bahnhof,Stuttgart Hauptbahnhof (oben) Gleis 14,Eriskirch Bahnhof,Stuttgart Hauptbahnhof (oben) Gleis 14,131.0766557510213,true
Esslingen (N) Gleis 5,Augsburg Hbf,Esslingen (N) Gleis 5,Augsburg Hbf,123.82525376619309,true
Esslingen (N) Gleis 5,Enzisweiler,Esslingen (N) Gleis 5,Enzisweiler,133.36192169966148,true
Esslingen (N) Gleis 5,Eriskirch Bahnhof,Esslingen (N) Gleis 5,Eriskirch Bahnhof,124.5614823112438,true
Esslingen (N) Gleis 5,Friedrichshafen Stadtbahnhof,Esslingen (N) Gleis 5,Friedrichshafen Stadtbahnhof,121.36365182154809,true
Esslingen (N) Gleis 5,Kressbronn Bahnhof,Esslingen (N) Gleis 5,Kressbronn Bahnhof,129.1701054862711,true
Esslingen (N) Gleis 5,Langenargen Bahnhof,Esslingen (N) Gleis 5,Langenargen Bahnhof,127.9468644265093,true
Esslingen (N) Gleis 5,Lindau-Aeschach,Esslingen (N) Gleis 5,Lindau-Aeschach,134.19438211122863,true
Esslingen (N) Gleis 5,Lindau-Reutin,Esslingen (N) Gleis 5,Lindau-Reutin,135.2117135104453,true
Esslingen (N) Gleis 5,Meckenbeuren Bahnhof,Esslingen (N) Gleis 5,Meckenbeuren Bahnhof,117.06562045456239,true
