route_id,agency_id,route_short_name,route_long_name,route_type
12-349-s24-2,1,349,Wendelstein-Ringlinie Kurs A Bayrischzell - Bad Feilnbach - Brannenburg - Bayrischzell - Fischbachau,3
12-349-s24-4,1,349,Wendelstein-Ringlinie Kurs A Bayrischzell - Bad Feilnbach - Brannenburg - Bayrischzell - Fischbachau,3
12-352-s24-1,1,352,Leitzach-/Schlierachtal Ringlinie A Miesbach - Hundham - Fischbachau - Schliersee - Miesbach,3
12-352-s24-9,1,352,Leitzach-/Schlierachtal Ringlinie A Miesbach - Hundham - Fischbachau - Schliersee - Miesbach,3
12-353-s24-1,1,353,Holzkirchen - Sachsenkam - Bad Tölz - Lenggries (- Hohenburg),3
12-353-s24-2,1,353,Holzkirchen - Sachsenkam - Bad Tölz - Lenggries (- Hohenburg),3
12-354-s24-2,1,354,Tegernsee - Gmund - Wall - Miesbach - Agatharied,3
12-355-s24-1,1,355,Tegernsee - Gmund - Schliersee - Neuhaus - Fischbachau,3
12-356-s24-1,1,356,Tegernsee - Rottach-Egern - Wallberg - Kreuth - Stuben,3
12-357-s24-1,1,357,Tegernsee - Rottach-Egern - Bad Wiessee - Gmund - Waakirchen - Reichersbeuern - Bad Tölz,3
12-358-s24-1,1,358,Tegernsee - Gmund - Hausham - Miesbach - Irschenberg,3
12-359-s24-1,1,359,Ringlinie A: Tegernsee - Rottach-Egern - Bad Wiessee - Gmund - Tegernsee,3
12-360-s24-1,1,360,Tegernsee - Rottach-Egern - Enterrottach - Moni-Alm,3
12-361-s24-1,1,361,Holzkirchen - Darching - Weyarn - Miesbach - Schliersee,3
12-362-s24-1,1,362,Schliersee - Neuhaus - Spitzingsee,3
12-363-s24-1,1,363,Kleinhöhenkirchen - Weyarn - Miesbach,3
12-364-s24-3,1,364,Bad Tölz - Wackersberg - Arzbach - Lenggries (- Brauneckbahn - Hohenburg),3
12-364-s24-4,1,364,Bad Tölz - Wackersberg - Arzbach - Lenggries (- Brauneckbahn - Hohenburg),3
12-365-s24-2,1,365,Moni-Alm - Valepp - Spitzingsee,3
12-366-s24-2,1,366,Tegernsee - Bad Wiessee - Gmund - Warngau - Holzkirchen,3
12-367-s24-2,1,367,Holzkirchen - Warngau - Wall - Miesbach,3
12-368-s24-1,1,368,Holzkirchen - Otterfing - Dietramszell - Bad Tölz,3
12-369-s24-1,1,369,(Bad Tölz -) Lenggries - Vorderriß - Oswaldhütte - Eng (Tirol),3
12-390-s24-1,1,390,Tegernsee - Rottach-Egern - Kreuth - Achenkirch - Pertisau,3
12-391-s24-1,1,391,Bad Tölz - Blombergbahn - Bad Heilbrunn - Penzberg,3
12-392-s24-2,1,392,(Hohenburg -) Bad Tölz - Bad Heilbrunn - Benediktbeuern - Kochel,3
12-392-s24-5,1,392,(Hohenburg -) Bad Tölz - Bad Heilbrunn - Benediktbeuern - Kochel,3
12-393-s24-2,1,9611,Kochel - Großweil - Achrain / Ohlstadt - Murnau,3
12-394-s24-1,1,9613,Penzberg - Benediktbeuern - Kochel - Schlehdorf,3
12-395-s24-1,1,395,Lenggries - Wegscheid - Jachenau,3
12-401-s24-2,1,401,Stadtmitte - Hochschule - Kaserne - Stadtmitte,3
12-402-s24-3,1,402,Stadtmitte - Bahnhof - Endorfer Au - Am Gries - Bahnhof - Stadtmitte,3
12-403-s24-5,1,403,Stadtmitte - Bahnhof - Traberhof - Alt-Happing,3
12-404-s24-4,1,404,Stadtmitte - Unterfürstätt - Küpferling - Stadtmitte,3
12-405-s24-3,1,405,Stadtmitte - Langenpfunzen - (Pfaffenhofen) - Egarten - Stadtmitte,3
12-406-s24-2,1,406,Stadtmitte - Klinikum - Erlenau - Stadtmitte,3
12-407-s24-1,1,407,Stadtmitte - Bahnhof - Heilig Blut - Oberwöhr - Schwaig,3
12-407-s24-6,1,407,Stadtmitte - Bahnhof - Kalten Eck - Schwaig - Oberwöhr,3
12-407-s24-7,1,407,Stadtmitte - Bahnhof - Heilig Blut - Oberwöhr - Schwaig,3
12-408-s24-2,1,408,"Rosenheim, Stadtmitte - Rosenheim - Kolbermoor - Kolbermoor, Siedlerplatz",3
12-409-s24-1,1,409,"Rosenheim, Stadtmitte - Rosenheim - Aicherpark - Kolbermoor - Kolbermoor, Königseestraße",3
12-410-s24-2,1,410,Stadtmitte - Kastenau,3
12-411-s24-2,1,411,Stadtmitte - Rosenheim - Aisingerwies - Aising - Pang - Schwaig - Rosenheim - Stadtmitte,3
12-412-s24-2,1,412,Stadtmitte - Rosenheim - Schwaig - Pang - Aising - Aisingerwies - Rosenheim - Stadtmitte,3
12-413-s24-2,1,413,Schülerverkehr Aising - Pang - Schwaig - Aisingerwies,3
12-413-s24-3,1,413,Schülerverkehr Aising - Pang - Schwaig - Aisingerwies,3
12-414-s24-1,1,414,Schülerverkehr Stadtmitte - Bahnhof - Aisingerwies - Aising - Pang,3
12-420-s24-1,1,420,Stadtmitte - Bahnhof - Happing - Kastenau - Stadtmitte,3
12-421-s24-1,1,421,Stadtmitte - Rosenheim - Aisingerwies - Pang - Schwaig - Rosenheim - Stadtmitte,3
12-421-s24-4,1,421,Stadtmitte - Rosenheim - Aisingerwies - Pang - Schwaig - Rosenheim - Stadtmitte,3
12-422-s24-1,1,422,Stadtmitte - Rosenheim - Schwaig - Pang - Aisingerwies - Rosenheim - Stadtmitte,3
12-422-s24-4,1,422,Stadtmitte - Rosenheim - Schwaig - Pang - Aisingerwies - Rosenheim - Stadtmitte,3
12-423-s24-1,1,423,Stadtmitte - Rosenheim - Traberhof - Alt-Happing - Rosenheim - Stadtmitte,3
12-424-s24-1,1,424,Stadtmitte - Unterfürstätt - Küpferling - Stadtmitte,3
12-426-s24-1,1,426,Stadtmitte - Erlenau - Langenpfunzen - Westerndorf - Kaserne - Stadtmitte,3
12-429-s24-1,1,429,"Rosenheim, Stadtmitte - Rosenheim - Kolbermoor - Kolbermoor, Königsseestr.",3
12-431-s24-3,1,431,Stadtbus Wasserburg Badria - Stadt Busbahnhof - Wasserburg Bf (Reitmehring),3
12-432-s24-1,1,432,Wasserburg - Edling - Pfaffing - Rettenbach,3
12-433-s24-1,1,9413,Wasserburg Stadt - Weiglham - (Frabertsham) - Schnaitsee - Waldhausen,3
12-434-s24-1,1,434,Wasserburg Stadt - Halfing - Bad Endorf - Prien,3
12-434-s24-4,1,434,Wasserburg Stadt - Halfing - Bad Endorf - Prien,3
12-434-s24-5,1,434,Wasserburg Stadt - Halfing - Bad Endorf - Prien,3
12-435-s24-1,1,435,Rosenheim - Vogtareuth - Griesstätt - Wasserburg Stadt,3
