route_id,agency_id,agency_1,agency_2,agency_3,route_short_name,route_long_name,route_desc,route_type,version,is_active,origin_trip_0,destination_trip_0,distance,emissions,classes,countries,source,source_interrail,picture,emissions_relation
96,FS,FS,,,IC Notte 788 = IC Notte 789,,IC Notte 788: Lecce - Brindisi - Bari Centrale - Roma Termini // IC Notte 789: Roma Termini - Bari Centrale - Brindisi - Lecce,2,,Y,Lecce,Roma,647.0,12.7,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte.jpg,
100,FS,FS,,,IC Notte 794 = IC Notte 795,,IC Notte 794: Reggio Calabria Centrale - Tropea - Lamezia Terme Centrale - Roma Ostiense - Civitavecchia - Grosseto - Livorno Centrale  - Pisa Centrale - La Spezia Centrale - Genova Piazza Principe / Zêna - Torino Lingotto // IC Notte 795: Torino Lingotto - Genova Piazza Principe / Zêna - La Spezia Centrale - Pisa Centrale - Livorno Centrale  - Grosseto - Civitavecchia - Roma Ostiense - Lamezia Terme Centrale - Tropea - Reggio Calabria Centrale,2,,Y,Reggio Calabria,Torino,1358.0,25.7,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte.jpg,
99,FS,FS,,,IC Notte 796 = IC Notte 1515,,IC Notte 796: Salerno - Napoli Centrale  - Roma Tiburtina - Pisa Centrale - La Spezia Centrale - Genova Piazza Principe / Zêna - Torino Lingotto // IC Notte 1515: Torino Lingotto - Genova Piazza Principe / Zêna - La Spezia Centrale - Pisa Centrale - Civitavecchia - Roma Ostiense - Napoli Centrale  - Salerno,2,,Y,Salerno,Torino,962.0,17.9,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte.jpg,
83,FS,FS,,,IC Notte 797 = IC Notte 798,,IC Notte 797: Torino Porta Susa - Milano Porta Garibaldi - Roma Tiburtina - Napoli Centrale  - Salerno // IC Notte 798: Salerno - Napoli Centrale  - Roma Tiburtina - Orvieto - Milano Porta Garibaldi - Torino Porta Susa,2,,Y,Torino,Salerno,1009.0,20.3,"seat, couchette, sleeper",IT,https://www.trenitalia.com/en.html,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte.jpg,
65,GA,GA,,,F5 725 = F5 726,F5,F5 725: Oslo S - Drammen - Kongsberg - Sandnes - Stavanger // F5 726: Stavanger - Sandnes - Kongsberg - Drammen - Oslo S,2,,Y,Oslo,Stavanger,588.0,0.18,"seat, couchette, sleeper",NO,https://go-aheadnordic.no/planner,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_Trenitalia_IC_Notte.jpg,
42,GWR,GWR,,,Sleeper (Penzance) = Sleeper (London),Night Riviera,Sleeper (Penzance): London Paddington - Reading - Plymouth - Penzance // Sleeper (London): Penzance - Plymouth - London Paddington,2,,Y,London,Penzance,489.0,10.0,"seat, sleeper",GB,https://www.gwr.com/,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_GWR.jpeg,
3,HŽPP,HŽPP,,,1820 = 1821,,1820: Split - Knin - Karlovac - Zagreb Gl. K. // 1821: Zagreb Gl. K. - Karlovac - Knin - Split,2,,Y,Split,Zagreb,424.0,11.6,"seat, couchette, sleeper",HR,https://www.hzpp.hr/en/#,,,
47,HŽPP,HŽPP,,,1840 = 1841,,1840: Vukovar - Slavonski Brod - Zagreb Gl. K. - Karlovac - Knin - Split // 1841: Split - Knin - Zagreb Gl. K. - Slavonski Brod - Vukovar,2,,Y,Vukovar,Split,700.0,6.5,"seat, couchette, sleeper",HR,https://www.hzpp.hr/en/#,,,
48,HŽPP,HŽPP,,,1880 = 1881,Dalmacija,1880: Osijek - Zagreb Gl. K. - Knin - Split // 1881: Split - Knin - Zagreb Gl. K. - Bjelovar - Osijek,2,,Y,Osijek,Split,677.0,6.5,"seat, couchette, sleeper",HR,https://www.hzpp.hr/en/#,,,
57,HŽPP/ÖBB,HŽPP,ÖBB,,EN 414 = EN 40237,,EN 414: Zagreb Gl. K. - Ljubljana - Villach Hbf - Rosenheim - München Ost - Augsburg Hbf - Ulm Hbf - Stuttgart Hbf // EN 40237: Stuttgart Hbf - Ulm Hbf - Augsburg Hbf - München Ost - Rosenheim - Villach Hbf - Ljubljana - Zagreb Gl. K.,2,,Y,Zagreb,Stuttgart,807.0,11.1,"seat, couchette, sleeper","DE, AT, SI, HR",https://shop.oebbtickets.at,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_hzpp_en.jpeg,
117,HŽPP/ÖBB,HŽPP,ÖBB,,EN 40414 = EN 40465,,EN 40414: Zagreb Gl. K. - Ljubljana - Villach Hbf - Innsbruck Hbf - St. Anton am Arlberg - Feldkirch - Buchs (SG) - Zürich HB // EN 40465: Zürich HB - Buchs (SG) - Feldkirch - Bludenz - St. Anton am Arlberg - Innsbruck Hbf - Villach Hbf - Ljubljana - Zagreb Gl. K.,2,,Y,Zagreb,Zürich,903.0,5.3,"seat, couchette, sleeper","AT, CH, SI, HR",https://shop.oebbtickets.at,,https://back-on-track.eu/wp-content/uploads/2025/03/800_CC-BY_back-on-track_eu_hzpp_en.jpeg,
58,MÁV,MÁV,,,EN 40457 = EN 40476,,EN 40457: Berlin Hbf - Berlin Südkreuz - Dresden Neustadt - Dresden Hbf - Ústí n.L.hl.n. - Praha-Holešovice - Bratislava hl.st. - Vac - Budapest Nyugati // EN 40476: Budapest Nyugati - Vac - Bratislava hl.st. - Brno hl.n. - Dresden Hbf - Dresden Neustadt - Berlin Südkreuz - Berlin Hbf,2,,Y,Berlin,Budapest,995.0,17.0,"seat, couchette, sleeper","DE, CZ, SK, HU",https://jegy.mav.hu/,,,
223,MÁV,MÁV,,,1246 / 1605 = 1604 / 1247,Istria,1246 / 1605: Budapest Déli - Budapest Kelenföld - Vesprem - Zalaegerszeg - Ljubljana - Koper // 1604 / 1247: Koper - Ljubljana - Zalaegerszeg - Vesprem - Budapest Kelenföld - Budapest Déli,2,,Y,Budapest,Koper,703.0,,"seat, couchette, sleeper","HU, SI, HR",https://jegy.mav.hu/,,,
224,MÁV,MÁV,,,1246 / 1605 / 481 = 480 / 1604 / 1247,Istria,1246 / 1605 / 481: Budapest Déli - Budapest Kelenföld - Vesprem - Zalaegerszeg - Ljubljana - Opatija Matulji - Rijeka // 480 / 1604 / 1247: Rijeka - Opatija Matulji - Ljubljana - Zalaegerszeg - Vesprem - Budapest Kelenföld - Budapest Déli,2,,Y,Budapest,Rijeka,703.0,,"seat, couchette, sleeper","HU, SI, HR",https://jegy.mav.hu/,,,
